FROM_ID;TO_ID;DURATION_H;DIST_KM
13;44;1,011038889;44,4394
13;45;0,8007;24,26551
13;42;1,592952778;63,36359
13;43;1,799277778;68,05019
13;40;0,551016667;16,77501
13;41;1,236255556;37,33226
13;22;1,7435;71,91341
13;20;1,998447222;98,81375
13;21;1,294413889;57,25959
13;16;0,536230556;16,3314
13;30;1,775811111;69,33099
13;28;1,210766667;41,87202
13;29;0,781477778;23,68882
13;27;1,205858333;36,38083
13;24;1,744647222;66,85478
13;25;1,970194444;92,87665
13;7;1,636444444;71,19601
13;4;1,172508333;54,08563
13;2;1,940438889;101,16023
13;14;1,571980556;61,23127
13;15;2,1518;95,79151
13;12;1,655572222;79,9213
13;13;0;0
13;10;1,593619444;66,82484
13;11;0,911913889;39,54538
13;9;1,664344444;48,7538
13;54;1,132763889;45,77404
13;55;1,327419444;66,42276
13;52;2,226616667;63,3517
13;50;1,401633333;56,99609
13;100;1,135252778;53,53298
14;51;1,815086111;68,19659
14;48;0,742047222;24,3679
14;49;0,829852778;34,3961
14;58;1,075383333;46,67279
14;59;1,667555556;77,44923
14;56;1,403194444;64,91554
14;57;1,881083333;95,215
14;38;1,975138889;81,40113
14;36;1,735394444;72,2392
14;37;2,140036111;96,29254
14;34;0,97695;30,76356
14;35;2,126911111;93,62491
14;32;1,155202778;41,22654
14;33;0,383308333;11,49929
14;46;1,560055556;79,73966
14;44;0,560944444;16,79195
14;45;2,265666667;88,3919
14;42;1,158588889;34,72135
14;43;0,392752778;11,78263
14;40;2,015983333;80,9014
14;41;2,192997222;79,39673
14;22;1,154444444;36,472
14;20;1,889805556;90,26269
14;21;0,860047222;28,61735
14;16;2,001197222;80,45779
14;30;1,667169444;60,77993
14;28;1,459247222;51,03729
14;29;2,246444444;87,81521
14;27;1,753827778;66,35874
14;24;0,909494444;29,39132
14;25;1,861552778;84,32559
14;7;0,794161111;23,81187
14;4;1,063866667;45,53457
14;2;1,831794444;92,60916
14;14;0;0
14;15;1,316644444;58,32805
14;12;1,546930556;71,37023
14;13;1,571980556;61,23127
14;10;0,758463889;29,36139
14;11;0,803272222;30,99432
14;9;1,766888889;84,84916
14;54;0,570036111;21,93193
14;55;0,893055556;37,78052
14;52;2,517602778;107,32613
14;50;0,488894444;14,65388
14;100;1,026611111;44,98193
15;51;1,957069444;63,30046
15;48;0,830127778;30,10705
15;49;0,486980556;23,94127
15;58;0,241313889;11,65788
15;59;1,378455556;54,76666
15;56;1,469813889;75,65536
15;57;1,452525;73,76777
15;38;0,868880556;33,34829
15;36;2,315211111;106,79943
15;37;1,966169444;84,97871
15;34;1,670463889;70,90201
15;35;2,133172222;100,44127
