FROM_ID;TO_ID;DURATION_H;DIST_KM
10;3;2,168811111;84,55895
10;4;2,028444444;77,54068
10;5;1,181838889;45,50309
10;6;0,977836111;36,89287
10;7;0,595944444;18,55296
10;8;1,594002778;58,06589
10;9;2,214963889;66,94757
10;10;0;0
10;11;1,821358333;85,27722
10;12;0,899113889;24,31949
10;13;1,8319;84,83887
10;14;2,253422222;100,69674
10;15;0,834686111;26,687
10;16;1,579094444;79,50066
10;17;2,320516667;69,8698
10;18;2,161008333;98,42486
10;19;2,367333333;103,11145
10;20;2,071116667;62,38777
10;21;1,130188889;34,19925
10;22;1,683169444;66,12884
10;23;1,110869444;34,66936
10;24;1,862469444;92,32085
10;25;2,056047222;61,93568
10;26;1,447169444;43,61084
10;27;2,135944444;94,64962
10;28;2,301577778;69,30158
10;29;0,8685;26,34859
10;30;2,312702778;101,91605
10;31;0,487527778;14,58956
10;32;2,2045;106,25727
10;33;1,177586111;52,55293
10;34;1,16595;42,53285
10;35;2,140036111;96,29254
10;36;1,966169444;84,97871
10;37;0,919347222;27,58059
10;38;2,074338889;62,72885
10;39;2,161675;101,88611
10;40;1,336794444;65,30014
10;41;0,503230556;14,42337
10;42;1,700819444;80,8353
10;43;1,895475;101,48402
10;44;1,293969444;38,14557
10;45;1,969688889;92,05736
10;0;1,134611111;51,62841
11;1;1,496408333;57,18127
11;2;1,095863889;36,94187
11;3;1,183669444;46,97006
11;4;1,429202778;59,24675
11;5;1,348877778;66,4339
11;6;1,084516667;53,90022
11;7;1,562405556;84,19968
11;8;1,940336111;84,17773
11;9;1,365580556;53,07741
11;10;1,821358333;85,27722
11;11;0;0
11;12;1,808230556;82,60959
11;13;0,785388889;22,06475
11;14;1,116036111;39,26812
11;15;1,241377778;68,72434
11;16;0,416008333;13,97168
11;17;1,895852778;69,2301
11;18;0,997922222;32,89588
11;19;1,204247222;37,58248
11;20;1,646172222;61,7396
11;21;1,874316667;68,38141
11;22;1,316180556;52,34702
11;23;1,571127778;79,24737
11;24;0,699383333;26,79187
11;25;1,631383333;61,29599
11;26;1,348488889;49,76461
11;27;0,961702778;28,81669
11;28;1,876630556;68,65341
11;29;1,435147222;55,34342
11;30;1,263311111;41,96529
11;31;1,542875;73,31027
11;32;1,041413889;40,7283
11;33;0,745188889;34,51924
11;34;1,513116667;81,59384
11;35;0,97695;30,76356
11;36;1,670463889;70,90201
11;37;1,228252778;60,35491
11;38;1,202169444;42,06948
11;39;1,112283333;41,93535
11;40;0,484594444;19,979
11;41;1,448211111;73,83384
11;42;0,651427778;20,88454
11;43;0,732388889;35,95505
11;44;2,198925;96,3108
11;45;0,806602778;26,52838
11;0;0,707933333;33,9666
12;1;1,321461111;32,38719
12;2;2,131133333;77,02614
12;3;2,155683333;81,89131
12;4;2,015316667;74,87305
12;5;1,168713889;42,83546
